player,position,club,nationality,goals,assists,minutes,rating,goals_per_90,assists_per_90,performance_score
Aaron Hickey,Defender,Scotland,Scotland,0,0,75,7.17,0.0,0.0,1.4340000000000002
Aaron Wan-Bissaka,Defender,Congo DR,England,0,0,355,6.91,0.0,0.0,1.3820000000000001
Abbosbek Fayzullayev,Forward,Uzbekistan,Uzbekistan,1,0,223,6.9,0.40358744394618834,0.0,1.5817937219730942
Abdallah Mousa Musallam Naseeb,Defender,Jordan,Jordan,0,0,261,6.61,0.0,0.0,1.322
Abdoulaye Seck,Defender,Senegal,Senegal,0,1,58,7.15,0.0,1.5517241379310345,1.8955172413793104
Abdukodir Khusanov,Defender,Uzbekistan,Uzbekistan,0,0,270,5.9,0.0,0.0,1.1800000000000002
Abdulaziz Hatem Mohammed Abdullah,Midfielder,Qatar,Qatar,0,0,44,6.62,0.0,0.0,1.324
Abdülkerim Bardakcı,Defender,Turkey,Turkey,0,0,266,7.1,0.0,0.0,1.42
Abdulla Kakhramonjon,Midfielder,Uzbekistan,Uzbekistan,0,0,180,5.43,0.0,0.0,1.086
Abdullah Al Amri,Defender,Saudi Arabia,Saudi Arabia,1,0,240,6.95,0.375,0.0,1.5775000000000001
Abdullah Al Hamdan,Forward,Saudi Arabia,Saudi Arabia,0,0,68,4.39,0.0,0.0,0.878
Abdullah Alkhaibari,Midfielder,Saudi Arabia,Saudi Arabia,0,0,182,6.55,0.0,0.0,1.31
Abduvohid Nematov,Goalkeeper,Uzbekistan,Uzbekistan,0,0,180,5.28,0.0,0.0,1.056
Achraf Hakimi,Defender,Morocco,Morocco,1,2,540,7.66,0.16666666666666666,0.3333333333333333,1.7153333333333334
Adam Hložek,Forward,Czech Republic,Czech Republic,0,0,157,6.66,0.0,0.0,1.332
Adel Boulebina,Forward,Algeria,Algeria,0,0,17,6.31,0.0,0.0,1.262
Adrien Rabiot,Midfielder,France,France,0,1,586,7.07,0.0,0.15358361774744028,1.4600750853242321
Agustín Canobbio Graviz,Forward,Uruguay,Uruguay,1,0,224,6.81,0.4017857142857143,0.0,1.5628928571428573
Ahmad Hasan,Defender,Iraq,Iraq,0,0,32,6.03,0.0,0.0,1.2060000000000002
Ahmed Aboel Fettoh,Defender,Egypt,Egypt,0,0,268,6.91,0.0,0.0,1.3820000000000001
Ahmed Alaaeldin Abdelmotaal,Forward,Qatar,Qatar,0,0,41,6.6,0.0,0.0,1.32
Ahmed Alganehi,Forward,Qatar,Qatar,0,0,34,6.75,0.0,0.0,1.35
Ahmed Basil Fadhil,Goalkeeper,Iraq,Iraq,0,0,136,6.0,0.0,0.0,1.2000000000000002
Ahmed Fathi Mansi Abdoulla,Midfielder,Qatar,Qatar,0,0,150,6.59,0.0,0.0,1.318
